step,i,j
741,1,1
741,1,2
741,1,3
742,0,2
742,1,2
742,2,2
743,1,1
743,1,2
743,1,3
744,0,2
744,1,2
744,2,2
745,1,1
745,1,2
745,1,3
746,0,2
746,1,2
746,2,2
747,1,1
747,1,2
747,1,3
748,0,2
748,1,2
748,2,2
749,1,1
749,1,2
749,1,3
750,0,2
750,1,2
750,2,2
751,1,1
751,1,2
751,1,3
752,0,2
752,1,2
752,2,2
753,1,1
753,1,2
753,1,3
754,0,2
754,1,2
754,2,2
755,1,1
755,1,2
755,1,3
756,0,2
756,1,2
756,2,2
757,1,1
757,1,2
757,1,3
758,0,2
758,1,2
758,2,2
759,1,1
759,1,2
759,1,3
760,0,2
760,1,2
760,2,2
761,1,1
761,1,2
761,1,3
762,0,2
762,1,2
762,2,2
763,1,1
763,1,2
763,1,3
764,0,2
764,1,2
764,2,2
765,1,1
765,1,2
765,1,3
766,0,2
766,1,2
766,2,2
767,1,1
767,1,2
767,1,3
768,0,2
768,1,2
768,2,2
769,1,1
769,1,2
769,1,3
770,0,2
770,1,2
770,2,2
771,1,1
771,1,2
771,1,3
772,0,2
772,1,2
772,2,2
773,1,1
773,1,2
773,1,3
774,0,2
774,1,2
774,2,2
775,1,1
775,1,2
775,1,3
776,0,2
776,1,2
776,2,2
777,1,1
